set,path,class,xmin,ymin,0,1,xmax,ymax,2,3
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000458992.jpg, person,0.002083333333333,0.003125,,,0.952083333333333,0.6421875,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000481567.jpg, person,0.3796875,0.191666666666667,,,0.5984375,0.585416666666667,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000251140.jpg, person,0.330666666666667,0.404,,,0.565333333333333,0.844,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000055022.jpg, person,0.8875,0.140625,,,0.970833333333333,0.265625,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000329614.jpg, person,0.108,0.701923076923077,,,0.182,0.990384615384615,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000165681.jpg, person,0.4953125,0.261261261261261,,,0.5859375,0.509009009009009,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000009772.jpg, person,0.5,0.359375,,,0.603636363636364,0.5546875,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000139099.jpg, person,0.778125,0.236203090507726,,,0.8546875,0.445916114790287,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000102331.jpg, person,0.394,0.128851540616246,,,0.552,0.425770308123249,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000395180.jpg, person,0.05,0.253638253638254,,,0.259375,0.904365904365904,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000301376.jpg, person,0.870870870870871,0.732,,,0.993993993993994,0.884,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000078748.jpg, person,0.0875,0.05,,,0.1625,0.2375,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000139099.jpg, person,0.5515625,0.209713024282561,,,0.6046875,0.39514348785872,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000069213.jpg, person,0.1046875,0.039812646370024,,,0.4390625,0.943793911007026,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000031817.jpg, person,0,0.10625,,,0.988023952095808,0.95,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000579902.jpg, person,0.359712230215827,0.3625,,,0.68705035971223,0.784375,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000182611.jpg, person,0.09375,0,,,0.754166666666667,0.678125,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000178982.jpg, person,0.715625,0.5807962529274,,,0.7765625,0.793911007025761,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000357737.jpg, person,0.6328125,0.04375,,,0.915625,0.947916666666667,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000279278.jpg, person,0.2453125,0.002331002331002,,,0.4515625,0.673659673659674,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000038829.jpg, person,0.3328125,0.192037470725995,,,0.5421875,0.915690866510539,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000494869.jpg, person,0.423887587822014,0.1375,,,0.845433255269321,0.6796875,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000329219.jpg, person,0.2734375,0.002341920374707,,,0.5046875,0.775175644028103,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000380706.jpg, person,0.43125,0.39906103286385,,,0.59375,0.889671361502347,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000546976.jpg, person,0.094,0.250666666666667,,,0.844,0.978666666666667,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000493286.jpg, person,0.1328125,0.448467966573816,,,0.2140625,0.623955431754875,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000078748.jpg, person,0.1484375,0.035416666666667,,,0.3171875,0.239583333333333,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000139099.jpg, person,0.2671875,0.200883002207506,,,0.3421875,0.419426048565122,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000122166.jpg, person,0.11875,0.46875,,,0.240625,0.9,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000394199.jpg, person,0.5125,0.072916666666667,,,0.9984375,0.997916666666667,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000419974.jpg, person,0.253521126760563,0.3296875,,,0.36150234741784,0.44375,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000380706.jpg, person,0,0.342723004694836,,,0.0296875,0.63849765258216,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000424162.jpg, person,0.4625,0.259765625,,,0.6859375,0.916015625,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000380706.jpg, person,0.0390625,0.314553990610329,,,0.1046875,0.584507042253521,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000011149.jpg, person,0,0.008,,,0.15,0.32,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000492937.jpg, person,0.580065359477124,0.03921568627451,,,0.738562091503268,0.555555555555556,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000011149.jpg, person,0.834,0.002666666666667,,,0.998,0.84,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000165681.jpg, person,0.5484375,0.238738738738739,,,0.634375,0.578828828828829,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000464476.jpg, person,0.1,0.154666666666667,,,0.232,0.658666666666667,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000139099.jpg, person,0,0.333333333333333,,,0.328125,0.916114790286976,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000169996.jpg, person,0.2671875,0.597916666666667,,,0.3828125,0.864583333333333,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000146667.jpg, person,0.3921875,0.068645640074212,,,0.7109375,0.565862708719852,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000424162.jpg, person,0.7078125,0.232421875,,,0.9203125,0.9296875,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000397133.jpg, person,0.60625,0.161592505854801,,,0.7765625,0.810304449648712,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000289343.jpg, person,0.385633270321361,0.3671875,,,0.499054820415879,0.64375,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000309391.jpg, person,0.94375,0.700520833333333,,,0.978125,0.924479166666667,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000579321.jpg, person,0.146875,0,,,0.521875,0.423694779116466,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000422706.jpg, person,0.00625,0.039812646370024,,,0.2296875,0.526932084309134,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000279278.jpg, person,0.5375,0,,,0.75,0.748251748251748,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000210273.jpg, person,0.828125,0.359813084112149,,,0.85625,0.450934579439252,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000261888.jpg, person,0.5640625,0.335680751173709,,,0.715625,0.922535211267606,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000246963.jpg, person,0.1296875,0.230952380952381,,,0.2140625,0.342857142857143,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000165681.jpg, person,0.48125,0.245495495495495,,,0.521875,0.490990990990991,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000445834.jpg, person,0.6625,0.421545667447307,,,0.80625,0.971896955503513,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000251140.jpg, person,0.509333333333333,0.548,,,0.714666666666667,0.726,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000176857.jpg, person,0.29,0.029333333333333,,,0.35,0.2,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000146667.jpg, person,0.253125,0.001855287569573,,,0.3234375,0.23747680890538,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000031817.jpg, person,0.856287425149701,0,,,0.997005988023952,0.35625,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000534605.jpg, person,0.471666666666667,0.2425,,,0.538333333333333,0.54,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000577932.jpg, person,0.4609375,0.423572744014733,,,0.590625,0.869244935543278,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000279278.jpg, person,0.3671875,0.002331002331002,,,0.4890625,0.571095571095571,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000422706.jpg, person,0,0.011709601873536,,,0.290625,0.365339578454333,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000292456.jpg, person,0.644,0.181333333333333,,,0.706,0.426666666666667,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000338304.jpg, person,0.625882352941176,0.3390625,,,0.964705882352941,0.728125,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000146667.jpg, person,0.1,0.031539888682746,,,0.1703125,0.256029684601113,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000291634.jpg, person,0.501154734411086,0.3078125,,,0.542725173210162,0.39375,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000078748.jpg, person,0.3125,0.035416666666667,,,0.3921875,0.229166666666667,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000017899.jpg, person,0.002083333333333,0.0171875,,,0.508333333333333,0.609375,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000395180.jpg, person,0.696875,0.388773388773389,,,0.7140625,0.41995841995842,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000093437.jpg, person,0.121875,0.022160664819945,,,0.6703125,0.980609418282548,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000488592.jpg, person,0.552083333333333,0.6734375,,,0.64375,0.8453125,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000246963.jpg, person,0.234375,0.288095238095238,,,0.3375,0.502380952380952,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000279278.jpg, person,0.21875,0.027972027972028,,,0.2890625,0.470862470862471,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000577932.jpg, person,0.3609375,0.429097605893186,,,0.4890625,0.904235727440147,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000507975.jpg, person,0.4390625,0.029166666666667,,,0.590625,0.316666666666667,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000176857.jpg, person,0.518,0.16,,,0.72,0.576,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000433915.jpg, person,0.06875,0.127083333333333,,,0.446875,0.845833333333333,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000534605.jpg, person,0.103333333333333,0.12,,,0.251666666666667,0.925,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000356387.jpg, person,0.722,0.611940298507463,,,0.826,0.985074626865672,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000067213.jpg, person,0.696875,0.682474226804124,,,0.790625,0.847422680412371,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000226408.jpg, person,0.01875,0.251599147121535,,,0.6046875,0.85501066098081,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000176857.jpg, person,0.45,0.010666666666667,,,0.586,0.416,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000507975.jpg, person,0.1390625,0.245833333333333,,,0.2140625,0.3875,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000200839.jpg, person,0.003125,0.466666666666667,,,0.0484375,0.5875,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000067213.jpg, person,0.771875,0.682474226804124,,,0.903125,0.845360824742268,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000068093.jpg, person,0.590625,0.125,,,0.8890625,0.941666666666667,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000422706.jpg, person,0.0015625,0.330210772833724,,,0.1859375,0.742388758782201,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000292456.jpg, person,0.258,0.082666666666667,,,0.378,0.717333333333333,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000165681.jpg, person,0.5984375,0.114864864864865,,,0.646875,0.234234234234234,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000338304.jpg, person,0.588235294117647,0.3703125,,,0.748235294117647,0.5671875,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000068093.jpg, person,0.5453125,0.0625,,,0.721875,0.645833333333333,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000554002.jpg, person,0.6296875,0.084705882352941,,,0.721875,0.731764705882353,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000210299.jpg, person,0.196875,0.258333333333333,,,0.396875,0.677083333333333,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000291634.jpg, person,0.020785219399538,0.3015625,,,0.07621247113164,0.4328125,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000078748.jpg, person,0.38125,0.027083333333333,,,0.45,0.23125,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000291634.jpg, person,0.725173210161663,0.303125,,,0.782909930715935,0.4484375,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000554002.jpg, person,0.40625,0,,,0.6453125,0.788235294117647,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000067213.jpg, person,0.0015625,0.742268041237113,,,0.084375,0.85360824742268,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000291634.jpg, person,0.374133949191686,0.315625,,,0.415704387990762,0.3703125,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000248334.jpg, person,0.658,0.453333333333333,,,0.78,0.576,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000291634.jpg, person,0.309468822170901,0.3125,,,0.325635103926097,0.35625,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000248334.jpg, person,0.776,0.512,,,0.808,0.578666666666667,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000554002.jpg, person,0.315625,0.002352941176471,,,0.471875,0.656470588235294,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000309391.jpg, person,0.6703125,0.484375,,,0.6953125,0.565104166666667,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000248334.jpg, person,0.83,0.48,,,0.914,0.581333333333333,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000078748.jpg, person,0.453125,0.035416666666667,,,0.578125,0.227083333333333,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000122166.jpg, person,0.7890625,0.635416666666667,,,0.8109375,0.7125,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000441586.jpg, person,0.478125,0.04,,,0.6359375,0.637647058823529,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000472623.jpg, person,0.36,0.3609375,,,0.418823529411765,0.471875,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000279278.jpg, person,0.88125,0.03962703962704,,,0.9984375,0.983682983682984,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000577932.jpg, person,0.6796875,0.429097605893186,,,0.71875,0.605893186003683,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000472623.jpg, person,0.294117647058824,0.3734375,,,0.355294117647059,0.4765625,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000178982.jpg, person,0.5015625,0.569086651053864,,,0.5828125,0.819672131147541,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000309391.jpg, person,0.821875,0.330729166666667,,,0.8421875,0.388020833333333,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000248334.jpg, person,0.928,0.522666666666667,,,0.962,0.602666666666667,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000045596.jpg, person,0.301470588235294,0.54375,,,0.323529411764706,0.5828125,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000078748.jpg, person,0.765625,0.108333333333333,,,0.8234375,0.33125,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000246963.jpg, person,0.3453125,0.25952380952381,,,0.43125,0.519047619047619,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000481386.jpg, person,0.224824355971897,0.15,,,0.749414519906323,0.909375,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000488592.jpg, person,0.529166666666667,0.6734375,,,0.554166666666667,0.7328125,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000570834.jpg, person,0.2875,0.341666666666667,,,0.3953125,0.727083333333333,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000577932.jpg, person,0.6015625,0.429097605893186,,,0.6453125,0.607734806629834,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000165681.jpg, person,0.2140625,0.25,,,0.2265625,0.328828828828829,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000248334.jpg, person,0.938,0.496,,,0.974,0.586666666666667,,
