sample,image,category,xmin,ymin,xmax,ymax
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0426/0096.jpg,sus scrofa,0.3041,0.4158,0.34021999999999997,0.4613
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0426/0096.jpg,sus scrofa,0.8505,0.5239,0.93808,0.60379
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0426/0096.jpg,sus scrofa,0.3384,0.4058,0.37489999999999996,0.46121999999999996
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0426/0097.jpg,sus scrofa,0.3071,0.419,0.38139999999999996,0.46146
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0426/0097.jpg,sus scrofa,0.733,0.5285,0.79331,0.5687
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0426/0095.jpg,sus scrofa,0.3814,0.4172,0.4465,0.48519
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0329/1826.jpg,sus scrofa,0.5617,0.4914,0.9999,0.9999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0329/1825.jpg,sus scrofa,0.5869,0.5376,0.9038999999999999,0.9450999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0329/1825.jpg,sus scrofa,0.136,0.4296,0.263,0.6643
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0329/1825.jpg,sus scrofa,0.03148,0.291,0.17198000000000002,0.5495
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0329/1827.jpg,sus scrofa,0.7365,0.6643,0.9999,0.9999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0329/1827.jpg,sus scrofa,0.007832,0.3317,0.151232,0.5143
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0329/1081.jpg,sus scrofa,0.0008695000000000002,0.4808,0.4751695,0.9949
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0460/1985.jpg,sus scrofa,0.0,0.3747,0.5339,0.8395999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0325/0387.jpg,sus scrofa,0.7797,0.6434000000000001,0.9020999999999999,0.7991000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0325/0387.jpg,sus scrofa,0.7989,0.578,0.8451700000000001,0.6947
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0325/0387.jpg,sus scrofa,0.3183,0.5735,0.41990000000000005,0.6895
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0477/1711.jpg,sus scrofa,0.5612,0.5762,0.63825,0.6747500000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0477/1711.jpg,sus scrofa,0.318,0.5561,0.4777,0.7806000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0477/1702.jpg,sus scrofa,0.3251,0.5141,0.5417000000000001,0.8325
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0477/1692.jpg,sus scrofa,0.2505,0.502,0.4248,0.7995
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0477/1699.jpg,sus scrofa,0.2373,0.5239,0.4792,0.799
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0477/1698.jpg,sus scrofa,0.2298,0.5141,0.4772,0.8029999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0477/1697.jpg,sus scrofa,0.2226,0.506,0.47729999999999995,0.7963
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0477/1695.jpg,sus scrofa,0.3271,0.5275,0.5942000000000001,0.7988
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0325/0390.jpg,sus scrofa,0.3805,0.5456,0.45345,0.8044
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0285/0349.jpg,panthera pardus,0.3733,0.5471,0.5179,0.64698
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0285/0348.jpg,panthera pardus,0.1988,0.5778,0.3527,0.6807
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0789.jpg,sus scrofa,0.6704,0.5686,0.9869,0.7873
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0348/1299.jpg,panthera pardus,0.001566,0.02779,0.987966,0.96289
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0348/1301.jpg,panthera pardus,0.0,0.6463,1.0,0.9667
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0348/1300.jpg,panthera pardus,0.1786,0.02779,0.9999,0.96289
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0402/0960.jpg,sus scrofa,0.01041,0.47050000000000003,0.53901,0.859
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0302/0797.jpg,panthera pardus,0.4466,0.5407,0.5824,0.7589
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0407/1475.jpg,sus scrofa,0.287,0.475,0.44489999999999996,0.7706
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0407/1475.jpg,sus scrofa,0.0,0.5422,0.2299,0.8682000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0407/1477.jpg,sus scrofa,0.6184,0.48349999999999993,0.7738999999999999,0.6558999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0407/1476.jpg,sus scrofa,0.1437,0.4783,0.23931999999999998,0.6643
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0407/1476.jpg,sus scrofa,0.4987,0.5983,0.6374,0.7277
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0407/1476.jpg,sus scrofa,0.6736999999999999,0.5835,0.7399499999999999,0.6926
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0407/1476.jpg,sus scrofa,0.7343,0.5816,0.8793,0.7283
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0407/1476.jpg,sus scrofa,0.8428999999999999,0.508,0.9998999999999999,0.6838
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0329/1300.jpg,sus scrofa,0.2247,0.5448,0.4377,0.7986
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0329/0072.jpg,sus scrofa,0.0,0.6549,0.2098,0.9926000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0329/0072.jpg,sus scrofa,0.2416,0.6751999999999999,0.4951,0.9998999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0329/0073.jpg,sus scrofa,0.4124,0.6955,0.5952,0.9824999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0329/0073.jpg,sus scrofa,0.1465,0.6698,0.5033,0.9983
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0329/0071.jpg,sus scrofa,0.1821,0.5246,0.9999,0.9925999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0329/0620.jpg,sus scrofa,0.3281,0.4403,0.5189999999999999,0.6849000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0329/0620.jpg,sus scrofa,0.00018109999999999998,0.5142,0.19788109999999998,0.8618
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0327/0142.jpg,sus scrofa,0.4332,0.4625000000000001,0.5740999999999999,0.5882000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0035/1824.jpg,sus scrofa,0.2146,0.41629999999999995,0.5442,0.8131999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0036/0310.jpg,sus scrofa,0.1544,0.5178,0.4525,0.8385
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0330/0543.jpg,sus scrofa,0.1062,0.47720000000000007,0.5524,0.9828000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0325/0913.jpg,sus scrofa,0.4122,0.5959,0.5387,0.7192999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0325/0911.jpg,sus scrofa,0.2612,0.564,0.3635,0.6924999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0325/0911.jpg,sus scrofa,0.7818,0.7008,0.86853,0.9731
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0325/0911.jpg,sus scrofa,0.4074,0.6091,0.6273,0.8757999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0325/0912.jpg,sus scrofa,0.4069,0.5828,0.5109,0.7631
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0477/0160.jpg,panthera pardus,0.2184,0.3886,0.5686,0.6746
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0525/1593.jpg,sus scrofa,0.17259999999999998,0.3724,0.9986999999999999,0.9915
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0525/1594.jpg,sus scrofa,0.3804,0.5673,0.6207,0.8421000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0330/0226.jpg,sus scrofa,0.40509999999999996,0.537,0.5643,0.6679
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0831.jpg,sus scrofa,0.7668,0.557,0.9999,0.7785000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0835.jpg,sus scrofa,0.3489,0.5685,0.6345000000000001,0.7896
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0834.jpg,sus scrofa,0.4667,0.5545,0.7738,0.7959999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0833.jpg,sus scrofa,0.7655,0.5527,0.9999,0.7805
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0832.jpg,sus scrofa,0.7488,0.562,0.9989,0.7785000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0330/0886.jpg,sus scrofa,0.001024,0.3566,0.223324,0.7142
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0325/1280.jpg,sus scrofa,0.212,0.4084,0.6623,0.7966
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0325/1281.jpg,sus scrofa,0.1045,0.4878,0.47,0.7764
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0477/0211.jpg,sus scrofa,0.2381,0.2408,0.5588,0.6112
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0684.jpg,sus scrofa,0.6815,0.5534,0.91,0.7995
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0686.jpg,sus scrofa,0.6905,0.5627,0.9125,0.8004
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0682.jpg,sus scrofa,0.714,0.5671,0.9052,0.7812000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0683.jpg,sus scrofa,0.7153,0.5533,0.9103000000000001,0.7806
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0685.jpg,sus scrofa,0.7084,0.5639,0.9774,0.8056
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0681.jpg,sus scrofa,0.7021,0.5497,0.8940999999999999,0.7810999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0329/1907.jpg,sus scrofa,0.6578999999999999,0.4333,0.8489,0.593
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0329/1907.jpg,sus scrofa,0.5102,0.4939,0.6441,0.5864
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0477/1624.jpg,sus scrofa,0.1875,0.2716,0.5956,0.5416000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0477/1625.jpg,sus scrofa,0.1816,0.2696,0.6007,0.5469999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0477/1623.jpg,sus scrofa,0.1841,0.2654,0.6424,0.5432
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0477/1626.jpg,sus scrofa,0.3193,0.23330000000000004,0.5410999999999999,0.5349
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0477/1628.jpg,sus scrofa,0.46619999999999995,0.22,0.8836999999999999,0.4687
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0477/1627.jpg,sus scrofa,0.3785,0.2338,0.688,0.5366
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0477/1622.jpg,sus scrofa,0.6087,0.164,0.9993000000000001,0.5115
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0343/0844.jpg,panthera pardus,0.5228,0.7801,0.7955000000000001,0.9697
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0343/0846.jpg,panthera pardus,0.30239999999999995,0.717,0.5378,0.9698
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0343/0843.jpg,panthera pardus,0.605,0.7967,0.9331,0.9692999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0343/0851.jpg,panthera pardus,0.0257,0.6404,0.1192,0.8598
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0343/0847.jpg,panthera pardus,0.2503,0.6931,0.46330000000000005,0.9696
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0343/0849.jpg,panthera pardus,0.08447,0.6528,0.21937,0.8872
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0343/0850.jpg,panthera pardus,0.04728,0.6491,0.16258,0.8701
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0016/1110.jpg,panthera pardus,0.2718,0.3669,0.4085,0.7519
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0016/1108.jpg,panthera pardus,0.244,0.3775,0.3762,0.6999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0016/1109.jpg,panthera pardus,0.2558,0.3691,0.42160000000000003,0.747
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0327/1105.jpg,sus scrofa,0.4681,0.4233,0.7276,0.7611
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0325/0739.jpg,sus scrofa,0.4433,0.4313,0.5605,0.7188
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0467/0214.jpg,panthera pardus,0.1583,0.3048,0.5817,0.6238
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0350.jpg,sus scrofa,0.3898,0.5561,0.5162,0.7261000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0350.jpg,sus scrofa,0.7439,0.4943,0.8469,0.57029
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0364.jpg,sus scrofa,0.02056,0.5905,0.49976000000000004,0.9237
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0357.jpg,sus scrofa,0.3345,0.5159,0.6181000000000001,0.9245000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0357.jpg,sus scrofa,0.4872,0.545,0.8944000000000001,0.9979
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0357.jpg,sus scrofa,0.216,0.5603,0.3978,0.804
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0359.jpg,sus scrofa,0.165,0.5641,0.3621,0.7819
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0359.jpg,sus scrofa,0.0,0.7206,0.7084,0.9963
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0359.jpg,sus scrofa,0.3018,0.5155,0.5601,0.7676
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0356.jpg,sus scrofa,0.2602,0.5487,0.39559999999999995,0.7845
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0356.jpg,sus scrofa,0.5163,0.4772,0.6212,0.8345
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0356.jpg,sus scrofa,0.8144,0.5547,0.9982,0.9979
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0351.jpg,sus scrofa,0.4021,0.5304,0.6195,0.7392
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0351.jpg,sus scrofa,0.8554,0.5058,0.9991000000000001,0.7551
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0351.jpg,sus scrofa,0.3763,0.5476,0.5273,0.7243999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0330/0079.jpg,sus scrofa,0.22770000000000004,0.3346,0.5569,0.6663
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0409/1126.jpg,sus scrofa,0.2551,0.46129999999999993,0.6127,0.7511999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0409/1126.jpg,sus scrofa,0.5509,0.6224,0.62532,0.7641
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0409/1126.jpg,sus scrofa,0.6098,0.6134,0.66778,0.7126199999999999
